title,descripcion,salario,experience_text,url,company,location,source,salario_numerico,seniority,years_required,skills
"""Asesor De Venta En Tienda De Retail""",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Consultor Sap Fi,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Control De Gestión Con Experiencia En Análisis De Datos,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Consumer Y Market Insights,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Consultor Sap Sd Senior – Dominio De Inglés Conversacional,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Senior,0,"['Python', 'SQL', 'Machine Learning']"
Consultor Sap Pp – Inglés Conversacional Intermedio/Avanzado,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor/A Financiero En Tienda Retail,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor Financiero En Tienda De Retail,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Venta En Tienda La Polar,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor/A Financiero/A Para Tienda Retail La Union,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Contable,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
