title,descripcion,salario,experience_text,url,company,location,source,salario_numerico
"""Asesor de venta en tienda de retail""",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Consultor SAP FI,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Analista de control de gestión con experiencia en Análisis de Datos,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Analista Consumer y Market Insights,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Consultor SAP SD Senior – Dominio de Inglés conversacional,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Consultor SAP PP – Inglés conversacional intermedio/Avanzado,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Asesor/a financiero en tienda retail,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Asesor financiero en tienda de retail,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Asesor de venta en tienda la polar,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Asesor/a Financiero/a para tienda retail La Union,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Analista Contable,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
"Ovalle, Asesor de venta en tienda de retail",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Asesor de venta en tienda de retail ABC puente,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Asesor financiero  en tienda de retail,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Asesor financiero en tienda de retail AD,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Ejecutivo/a de Call Center y Analista de Calidad Junior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Analista Senior CxC y CxP,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Asesor/a Financiero/a para tienda retail Ancud,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7,No especificada,Chile,Computrabajo,0.0
Analista de mercado freelance,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Analista Contable Junior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Consultor SAP HANA,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Asesor de Ventas Full Time Tienda Gotta Easton Outlet Quilicura,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Asesor de venta en tienda de retail,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Consultor Oracle ERP,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Analista Funcional QA,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Analista Control de Gestión ($2.200.000),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Asesor de servicio en tienda de retail / FT 44hrs,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
analista crm,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Asesor financiero en tienda de retail / 25hrs Cauquenes,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
"Asesor de venta en tienda la polar,  puente",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Asesor/a financiero en tienda retial / Antofagasta,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6,No especificada,Chile,Computrabajo,0.0
Asesor/a financiero en tienda retial / Puente Alto,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
Asesor financiero en tienda de retail / 25hrs,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
Analista de Datos / GCP,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
