web-scraper-order,web-scraper-start-url,titulo,descripcion,salario,experiencia
"1762061085-1","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7", "Asesor de venta en tienda de retail","","",""
"1762061085-2","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Consultor SAP FI","","",""
"1762061085-3","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Analista de control de gestión con experiencia en Análisis de Datos","","",""
"1762061085-4","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Analista Consumer y Market Insights","","",""
"1762061085-5","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Consultor SAP SD Senior – Dominio de Inglés conversacional","","",""
"1762061085-6","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Consultor SAP PP – Inglés conversacional intermedio/Avanzado","","",""
"1762061085-7","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor/a financiero en tienda retail","","",""
"1762061085-8","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor financiero en tienda de retail","","",""
"1762061085-9","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor de venta en tienda la polar","","",""
"1762061085-10","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor/a Financiero/a para tienda retail La Union","","",""
"1762061085-11","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Analista Contable","","",""
"1762061085-12","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Ovalle, Asesor de venta en tienda de retail","","",""
"1762061085-13","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor de venta en tienda de retail ABC puente","","",""
"1762061085-14","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor financiero  en tienda de retail","","",""
"1762061085-15","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor financiero en tienda de retail AD","","",""
"1762061085-16","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor financiero  en tienda de retail","","",""
"1762061085-17","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Ejecutivo/a de Call Center y Analista de Calidad Junior","","",""
"1762061085-18","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor/a financiero en tienda retail","","",""
"1762061085-19","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Analista Senior CxC y CxP","","",""
"1762061085-20","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","Asesor/a Financiero/a para tienda retail Ancud","","",""
"1762061085-21","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 249.000,00 (Mensual)",""
"1762061085-22","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","",""
"1762061085-23","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 950.000,00 (Mensual)",""
"1762061085-24","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 1.800.000,00 (Mensual)",""
"1762061085-25","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","",""
"1762061085-26","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","",""
"1762061085-27","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 344.000,00 (Mensual)",""
"1762061085-28","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 344.000,00 (Mensual)",""
"1762061085-29","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 344.000,00 (Mensual)",""
"1762061085-30","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 320.000,00 (Mensual)",""
