web-scraper-order,web-scraper-start-url,titulo,descripcion,salario
"1762089874-1","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=40&vjk=96ff9c9001374849","Subgerente de Logistica","",""
"1762089874-2","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=40&vjk=96ff9c9001374849","Asistente Contable y RRHH","",""
"1762089874-3","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=40&vjk=96ff9c9001374849","Asistente Contable y RRHH","",""
"1762089874-4","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=40&vjk=96ff9c9001374849","","Subgerente de Logística
Empresa del sector industrial dedicada a la comercialización y distribución de maquinarias, herramientas y suministros técnicos, requiere incorporar a su equipo un Subgerente de Logística para liderar las operaciones de su Centro de Distribución.
Propósito del cargo
Planificar, coordinar y controlar las operaciones logísticas del Centro de Distribución, asegurando eficiencia en los procesos de recepción, almacenamiento, preparación y despacho de productos. El objetivo es garantizar la continuidad del abastecimiento, la satisfacción del cliente interno y externo, y el cumplimiento de los estándares de calidad, seguridad y costos definidos por la organización.
Principales responsabilidades

 Supervisar y optimizar los procesos de recepción, almacenamiento, picking, packing y despacho.
 Controlar niveles de inventario, asegurando su exactitud, rotación y trazabilidad.
 Coordinar con las áreas de compras, ventas y planificación para alinear la logística con la demanda.
 Conocimientos en importaciones, procedimientos aduaneros y logística internacional.
 Planificar y supervisar el transporte y distribución nacional, optimizando rutas, costos y niveles de servicio.
 Gestionar equipos de trabajo, promoviendo la seguridad, productividad y desarrollo de las personas.
 Monitorear indicadores de desempeño (KPI) y proponer mejoras en productividad y eficiencia.
 Implementar políticas, procedimientos y proyectos de mejora continua en el CD.
 Liderar iniciativas de automatización y uso de sistemas logísticos (WMS, ERP, RFID u otros).
 Velar por el cumplimiento de normas de seguridad, calidad y regulaciones aplicables.

Requisitos del cargo

 Título profesional en Ingeniería Industrial, Ingeniería en Logística, Administración o carrera afín.
 Experiencia mínima de 8 a 10 años en áreas de logística, distribución o supply chain, con al menos 3 años en cargos de jefatura o subgerencia.
 Conocimientos sólidos en gestión de inventarios, distribución, transporte y control de costos logísticos.
 Experiencia en centros de distribución con alto volumen de movimiento de productos.
 Dominio de sistemas de gestión logística (WMS, ERP, TMS).
 Habilidades de liderazgo, planificación y toma de decisiones bajo presión.
 Deseable nivel intermedio o superior de inglés.

Competencias clave

 Liderazgo y orientación al trabajo en equipo.
 Capacidad analítica y enfoque en resultados.
 Comunicación efectiva y gestión de conflictos.
 Proactividad y orientación al cliente interno y externo.
 Capacidad para impulsar la mejora continua.

Tipo de puesto: Indefinidio
Sueldo: $1.500.000 - $2.000.000 al mes",""
"1762089907-5","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Analista Financiero/Contable Las Condes","",""
"1762089907-6","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Consultor Funcional SAP FI/CO","",""
"1762089907-7","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Asistente e commerce Plataformas digitales","",""
"1762089907-8","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Encargado de Administración y Finanzas","",""
"1762089907-9","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Encargado de Administración y Finanzas","",""
"1762089907-10","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Ingenieros Geotécnicos","",""
"1762089907-11","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Supervisor Logístico","",""
"1762089907-12","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Analista Contable - Quilicura","",""
"1762089907-13","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Analista de Compras - Osorno","",""
"1762089907-14","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Auditor/a de Sistemas (Riesgo Tecnológico)","",""
"1762089907-15","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Consultor Funcional SAP MM Retail","",""
"1762089907-16","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Especialista Dynamics 365","",""
"1762089907-17","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Ejecutivo Comercial - Puerto Montt","",""
"1762089907-18","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Administrative Support RRHH y RRLL - Antofagasta","",""
"1762089907-19","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Implementador(a) de Odoo Contable","",""
"1762089907-20","https://cl.indeed.com/jobs?q=consultor+erp&l=Chile&radius=25&from=searchOnDesktopSerp&start=30&vjk=7ba7569e61602fb4","Consultor Funcional SAP SD/LETRA","",""
